source,target,weight
10201899321353523,789428661098373,7
1351767108208738,796076300424108,3
957954014236170,10153289659558293,7
541365239338852,882328001851093,3
669778923138111,10204604180295828,1
633307536751311,1027367700640865,1
10202647595391563,787678724615919,1
834504919928976,10205012440964012,1
574664425986112,10204707784195878,1
10206151522853995,1723359577880706,1
10203992601953897,997119190316084,1
10204743016648354,864001186944633,1
10152075701597106,10202716436497628,1
711928638887436,911870122234165,1
852313078122571,783392258369028,1
10152347434829780,873774655982354,5
10204363466860179,10204303666130944,14
727767597296190,913518145326259,1
655917261184474,1064026900328824,9
721351961233904,882047441806949,1
315187875295382,827967073964137,1
910542375639594,10208669934049066,3
797264570318322,10203631719066031,2
1241370649254458,1206176519426903,2
1482067795393282,932013136831617,1
668349859989539,1385653208115644,1
1519462668311950,10202357080184096,1
279566492428861,253330638368358,2
10202101515657841,278653769159452,1
10203323191589112,721062911296420,1
1722343771329041,1645487035670788,2
834936186528047,10204766181345150,2
382381772112757,1598377763822557,2
1681077185449665,755582057851530,2
10204874877303922,649368285212706,1
10204640109457170,790459447711765,2
769379069842700,1966038363615369,1
10203306787203108,10152364222875036,1
10200833592721429,844116462332218,4
808932422556317,673173819434087,1
777126279037016,930300873675674,1
628129957295367,832893496740855,1
1235339836510209,913909061982059,1
10204862288826852,10204505874028535,2
457673061055149,711160545678382,4
894195887286854,1181266755241416,1
806320912713026,853913441287498,2
1616805765222208,268525613503619,1
176806506120169,946172222074367,1
905415116145453,883264325059469,6
10206066435641975,10204373654034424,1
10205159443404220,10205290590864519,2
10202846124985675,10202468672790799,1
856355321069409,730058917084813,1
899676923487797,1367461409947709,1
10202691578667205,10203778618175626,3
184310611951047,710558159067537,1
10152678053757460,10152441454481647,1
753395511394296,413748208962530,1
10202814045686365,10203868727784850,1
10205504831850874,1517230201869585,3
10153377803307785,10152957729040358,3
741823659181675,105649316455339,5
365763550264238,764566360273477,1
10201600796060215,10152700247841667,1
10203210598700141,1472621626349344,4
903446923002949,10202849737028493,2
10204672810281587,10204498070950435,1
953401094683442,955457674545322,1
755583514472060,542111112568486,2
138737673199292,1324499080950706,3
998671336832986,228825187477411,3
10203842488894570,10152667420610256,1
10204281718151234,766133783411346,6
529444687158414,681979671946400,3
10205275188856129,807569916000122,3
1825636217661902,241063106252276,5
790511327723360,947402108646113,1
701730356601744,650298885083460,1
10204203517994772,556057884524332,1
749523265137501,1061855720588136,2
221367284729697,10205794664818828,1
266779153493811,795842913772223,8
853759894742567,756825677707831,1
929169087103834,736675509733452,3
10204051598681894,498542173661757,3
975248302490702,980222088676585,5
813999141979857,10201360861702077,2
958090024218462,10205395115382327,1
10152702696047832,10205384947758482,1
4827859390433,10204950893597203,1
10202812491809255,238582436645484,1
10203499813719152,204712009923725,2
912041348827020,868566223171760,3
10201182888454021,665208366942672,2
357547674410259,826148547403235,1
1190898754258116,903698336320830,1
10152772543840955,974932809207687,1
2009069809318124,2051918995034110,5
1150939901591149,10205726295051408,2
